run_num	task_name	task_code	task_file	instruction_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	acc	rt	real_end_time
1	finger_sequence	fingseq	finger_sequence_01.tsv	3	0	27	0.0006695999909425	1	0.0006729000015184	0.5625		27.01849180000136
1	rest	rest	rest_01.tsv	3	27	42	27.029240799995023	22	0.6284809000062523			42.0020336000016
1	action_observation	acva-acvk	action_observation_01.tsv	3	42	69	42.00820280000335	34	1.198074700005236			69.74318510000012
1	rest	rest	rest_01.tsv	3	69	84	69.75020719999156	56	1.355958300002385			84.00113809999311
1	demand_grid	dmgrd	demand_grid_01.tsv	3	84	111	84.00814759999048	67	1.207278200003202	0.6666666666666666	0.9492150666677238	109.38879519999318
1	rest	rest	rest_01.tsv	3	111	126	111.00001570000312	89	0.5991175999952247			126.00116859999252
1	pong	pong	pong_01.tsv	3	126	153	126.00759680000192	101	1.1983867999952054	0.5		152.5434796000045
2	action_observation	acva-acvk	action_observation_02.tsv	3	0	27	0.0003444000030867	1	0.0003474999975878			27.75322640000377
2	rest	rest	rest_02.tsv	3	27	42	27.758091399999103	23	1.3593355000048175			42.00117440000759
2	pong	pong	pong_02.tsv	3	42	69	42.008552500003134	34	1.1971313999965787	0.6666666666666666		68.28113940000185
2	rest	rest	rest_02.tsv	3	69	84	69.00001250000787	50	0.5933355000015581			84.00115680000454
2	demand_grid	dmgrd	demand_grid_02.tsv	3	84	111	84.00920670000778	63	0.01912500000617	1.0	0.9089794333315998	109.18158330000006
2	rest	rest	rest_02.tsv	3	111	126	111.00000870000804	85	0.5222051000018837			126.00103440000385
2	finger_sequence	fingseq	finger_sequence_02.tsv	3	126	153	126.00715320000018	98	0.0108704000012949	0.625		153.01939370000036
3	action_observation	acva-acvk	action_observation_03.tsv	3	0	27	0.0004072000010637	1	0.0004104000108782			27.735076400000253
3	rest	rest	rest_03.tsv	3	27	42	27.74129650001123	23	1.341536799998721			42.00104129999818
3	demand_grid	dmgrd	demand_grid_03.tsv	3	42	69	42.009603600003175	35	0.0172181999951135	1.0	0.6721741666697199	66.8012630000012
3	rest	rest	rest_03.tsv	3	69	84	69.00000860000728	57	0.6080117999954382			84.00108100000944
3	finger_sequence	fingseq	finger_sequence_03.tsv	3	84	111	84.00707920000423	70	0.00802009999461	0.1875		111.01834550000784
3	rest	rest	rest_03.tsv	3	111	126	111.02420200000051	91	0.625678299998981			126.0012745999993
3	pong	pong	pong_03.tsv	3	126	153	126.0074384000036	104	0.0164903999975649	0.6666666666666666		152.2786400000041
4	finger_sequence	fingseq	finger_sequence_04.tsv	3	0	27	0.0006952999974600971	1	0.0006987000087974593	0.75		27.018451800002367
4	rest	rest	rest_04.tsv	3	27	42	27.024333800000022	20	0.6310976000095252			42.001347900004475
4	demand_grid	dmgrd	demand_grid_04.tsv	3	42	69	42.00840980000794	32	1.2072001000051387	1.0	0.6224170333346896	66.67493249999825
4	rest	rest	rest_04.tsv	3	69	84	69.0000119000033	54	0.5992628000094555			84.00145360000897
4	pong	pong	pong_04.tsv	3	84	111	84.00738150000689	67	0.00890889999573119	0.3333333333333333		110.28202260000398
4	rest	rest	rest_04.tsv	3	111	126	111.00002099999983	82	0.6069896999979392			126.00134170000092
4	action_observation	acva-acvk	action_observation_04.tsv	3	126	153	126.00797190000594	94	1.2081062999932328			153.73742889999994
