run_num	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	stim	start_time	end_time	display_panda	real_start_time	start_ttl	start_ttl_time	response
1	0		11	1	False	motor1.mov	0	12	False	45.00033470000199	36	0.5862401999911526	[]
1	1		11	1	False	motor2.mov	12	24	True	57.00001839999459	46	0.0896986000007018	[('k', 11.473772199999075)]
2	0		11	1	False	motor3.mov	0	12	False	3.000355199998012	3	0.613958800007822	[]
2	1		11	1	False	motor4.mov	12	24	True	15.000028299997211	13	0.1067135000048438	[('k', 11.571804000006523)]
3	0		11	1	False	motor5.mov	0	12	False	3.000314899996738	3	0.6021037000027718	[]
3	1		11	1	False	motor6.mov	12	24	True	15.00001770000381	13	0.0955957999976817	[('l', 11.640774100000272)]
4	0		11	1	False	motor2.mov	0	12	False	129.00036800000817	96	0.6018731999938609	[]
4	1		11	1	False	motor3.mov	12	24	True	141.00003409999772	106	0.11096839999663644	[('k', 11.57616810000036)]
