run_num	trial_num	trial_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	1.0	12.0	0.0	12.0	30.00026689999504	24.0	1.1830972000025213
1	1.0	12.0	0.0	12.0	72.00023930000316	57.0	1.1923838999937288
1	1.0	12.0	0.0	12.0	114.00026299999443	91.0	1.1993786000093678
2	1.0	12.0	0.0	12.0	30.000249300006544	25.0	0.0129003999900305
2	1.0	12.0	0.0	12.0	72.00023150000197	53.0	0.004964400010067
2	1.0	12.0	0.0	12.0	114.00024649999978	88.0	0.0132639000075869
3	1.0	12.0	0.0	12.0	30.0002436000068	25.0	0.0021913000091444
3	1.0	12.0	0.0	12.0	72.00026850000722	59.0	1.1970530999969924
3	1.0	12.0	0.0	12.0	114.00027830000909	94.0	0.0017931999900611
4	1.0	12.0	0.0	12.0	30.000245100003667	23.0	0.0084860999922966
4	1.0	12.0	0.0	12.0	72.00057420000667	57.0	0.0005027000006521
4	1.0	12.0	0.0	12.0	114.00023990000773	85.0	0.007585099985590205
