run_num	trial_num	trial_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	1.0	12.0	0.0	12.0	30.000266400020337	13.0	1.5021011999924667
1	1.0	12.0	0.0	12.0	73.00024780002423	42.0	0.9776519000006374
1	1.0	12.0	0.0	12.0	115.00026930001331	70.0	0.9902929999807384
2	1.0	12.0	0.0	12.0	31.00024550000672	25.0	1.0035564999852795
2	1.0	12.0	0.0	12.0	75.57722609999473	59.0	3.576085900014732
2	1.0	12.0	0.0	12.0	115.00026620001881	90.0	1.0131973999959882
