run_num	task_name	task_code	task_file	instruction_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	acc	rt	real_end_time
1	finger_sequence	fingseq	finger_sequence_01.tsv	3	0	27	0.0004684000159613	1	0.0004718000418506	0.875		27.01942660001805
1	rest	rest	rest_01.tsv	3	27	42	27.03224410000257	10	0.6330762000288814			42.00117679999676
1	action_observation	acva-acvk	action_observation_01.tsv	3	42	69	42.00669420004124	16	1.1995426999637857			71.49092660000315
1	rest	rest	rest_01.tsv	3	70	85	71.49777810001979	28	1.883546600001864			85.0012071999954
1	demand_grid	dmgrd	demand_grid_01.tsv	3	85	112	85.0075323000201	34	1.0085954000242054	1.0	1.1001086999895051	110.09112120000646
1	rest	rest	rest_01.tsv	3	112	127	112.000014499994	45	1.5826385999680497			127.00138670002345
1	pong	pong	pong_01.tsv	3	127	154	127.00806850002846	51	2.200028299994301	1.0		153.52908540004864
2	action_observation	acva-acvk	action_observation_02.tsv	3	0	27	0.0004821000038646	1	0.0004854000289924			29.18653469998389
2	rest	rest	rest_02.tsv	3	28	43	29.19353709998541	12	2.7733754999935627			43.00100779999048
2	pong	pong	pong_02.tsv	3	43	70	43.00682700000471	17	2.198669900011737	1.0		75.53414609999163
2	rest	rest	rest_02.tsv	3	70	85	75.54869600001257	30	3.541701500013005			87.57282519998262
2	demand_grid	dmgrd	demand_grid_02.tsv	3	85	112	87.57954830001108	35	1.1789130000397563	1.0	0.7267588666679027	109.6424277999904
2	rest	rest	rest_02.tsv	3	112	127	112.00001489999704	45	1.5982078000088222			127.00128929998029
2	finger_sequence	fingseq	finger_sequence_02.tsv	3	127	154	127.00756900000852	51	2.208302500017453	0.625		154.02240319998236
3	action_observation	acva-acvk	action_observation_03.tsv	3	0	27	0.0003386000171303	1	0.0003418000414967			29.209322200040333
3	rest	rest	rest_03.tsv	3	28	43	29.2160127000534	12	2.7751285000122152			43.001278100011405
3	demand_grid	dmgrd	demand_grid_03.tsv	3	43	70	43.00711740000406	17	2.1989621000248007	1.0	0.8873855999942558	68.57773670001188
3	rest	rest	rest_03.tsv	3	70	85	70.00000740005635	29	0.3889821000047959			85.0011247000075
3	finger_sequence	fingseq	finger_sequence_03.tsv	3	85	112	85.00740430003498	35	1.0059355000266803	0.6875		112.01747070002602
3	rest	rest	rest_03.tsv	3	112	127	112.029912900005	46	1.6283058999688365			127.0011441000388
3	pong	pong	pong_03.tsv	3	127	154	127.00740820000648	52	2.1982472999952734	0.875		159.53514520003228
4	finger_sequence	fingseq	finger_sequence_04.tsv	3	0	27	0.00037239998346194625	1	0.0003760999534279108	0.875		27.01775879994966
4	rest	rest	rest_04.tsv	3	27	42	27.0358190999832	12	0.6338658000458963			42.00129579997156
4	demand_grid	dmgrd	demand_grid_04.tsv	3	42	69	42.00742659997195	18	1.1982618000474758	1.0	0.719648200009639	66.97932389995549
4	rest	rest	rest_04.tsv	3	69	84	69.00002669997048	29	1.7903387999976985			84.0010837999871
4	pong	pong	pong_04.tsv	3	84	111	84.00743959995452	35	2.405515299993567	0.875		116.53142259997549
4	rest	rest	rest_04.tsv	3	111	126	116.54622540000128	46	3.744945899990853			128.56946809997316
4	action_observation	acva-acvk	action_observation_04.tsv	3	126	154	128.57629549998092	51	1.3681705000344664			155.1258770999848
