run_num	trial_num	trial_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	1.0	12.0	0.0	12.0	30.00027939997381	12.0	1.2057893999735825
1	1.0	12.0	0.0	12.0	73.00023419997888	30.0	0.9986395000014454
1	1.0	12.0	0.0	12.0	115.00025109999116	47.0	2.2026917000184767
2	1.0	12.0	0.0	12.0	31.000240400026087	12.0	4.597196299990173
2	1.0	12.0	0.0	12.0	75.5636657999712	30.0	3.5369062999961898
2	1.0	12.0	0.0	12.0	115.0002739999909	46.0	2.198533500020858
3	1.0	12.0	0.0	12.0	31.00024600001052	12.0	4.5575451999902725
3	1.0	12.0	0.0	12.0	73.00024109997321	30.0	1.007295600022189
3	1.0	12.0	0.0	12.0	115.00026719999732	46.0	2.21385860000737
4	1.0	12.0	0.0	12.0	30.000236300053075	13.0	1.2149740000022575
4	1.0	12.0	0.0	12.0	72.00025670003379	31.0	0.0072211000369861
4	1.0	12.0	0.0	12.0	116.57113140000729	48.0	3.7845355999888852
