run_num	key_left	key_right	correct_side	trial_type	trial_num	hand	grid_size	num_steps	original_sequence	modified_sequence	original_step_1	original_step_2	original_step_3	display_trial_feedback	trial_dur	sequence_dur	question_dur	iti_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	2	3	right	1	0	right	(3, 3)	3	[(2, 2), (1, 0), (2, 1)]	[(2, 2), (1, 0), (2, 0)]	[(2, 2)]	[(1, 0)]	[(2, 1)]	False	7	4	3	1.5	0.0	8.5	88.00036910001654	36	1.605508300010115	3	0.8130692000268027	True
1	2	3	left	0	1	right	(3, 3)	3	[(0, 2), (0, 0), (1, 0)]	[(0, 2), (0, 0), (1, 1)]	[(0, 2)]	[(0, 0)]	[(1, 0)]	False	7	4	3	1.5	8.5	17.0	96.50002829998266	40	0.4949501000228338	1	0.7336827000253834	False
1	2	3	right	1	2	right	(3, 3)	3	[(1, 2), (2, 1), (1, 1)]	[(1, 2), (2, 1), (1, 0)]	[(1, 2)]	[(2, 1)]	[(1, 1)]	False	7	4	3	0.0	17.0	24.0	105.0000190999708	43	1.798412100004498	3	0.6191223999485373	True
2	2	3	left	0	0	right	(3, 3)	3	[(2, 0), (1, 0), (2, 2)]	[(2, 0), (1, 0), (2, 1)]	[(2, 0)]	[(1, 0)]	[(2, 2)]	False	7	4	3	1.5	0.0	8.5	88.00033389998134	35	1.599709000030998	2	0.8837415999732912	True
2	2	3	left	0	1	right	(3, 3)	3	[(1, 0), (0, 1), (2, 0)]	[(1, 0), (0, 1), (2, 2)]	[(1, 0)]	[(0, 1)]	[(2, 0)]	False	7	4	3	1.5	8.5	17.0	96.50002480001422	39	0.5043678999645635	2	0.7093060000333935	True
2	2	3	right	1	2	right	(3, 3)	3	[(0, 0), (1, 2), (0, 2)]	[(0, 0), (1, 2), (0, 1)]	[(0, 0)]	[(1, 2)]	[(0, 2)]	False	7	4	3	0.0	17.0	24.0	105.00002809998114	42	1.7937134000239894	3	0.7824255999876186	True
3	2	3	left	0	0	right	(3, 3)	3	[(1, 1), (0, 1), (2, 1)]	[(1, 1), (0, 1), (2, 2)]	[(1, 1)]	[(0, 1)]	[(2, 1)]	False	7	4	3	1.5	0.0	8.5	46.00032350001857	19	0.4093069999944418	1	0.6948197999736294	False
3	2	3	right	1	1	right	(3, 3)	3	[(2, 0), (2, 2), (2, 1)]	[(2, 0), (2, 2), (0, 1)]	[(2, 0)]	[(2, 2)]	[(2, 1)]	False	7	4	3	1.5	8.5	17.0	54.500018000020646	22	1.694032099971082	3	0.5104959000018425	True
3	2	3	right	1	2	right	(3, 3)	3	[(0, 2), (2, 1), (2, 2)]	[(0, 2), (2, 1), (2, 0)]	[(0, 2)]	[(2, 1)]	[(2, 2)]	False	7	4	3	0.0	17.0	24.0	63.000024700013455	26	0.6020722999819554	1	1.0839992999681272	False
4	2	3	left	0	0	right	(3, 3)	3	[(2, 0), (1, 1), (1, 2)]	[(2, 0), (1, 1), (2, 2)]	[(2, 0)]	[(1, 1)]	[(1, 2)]	False	7	4	3	1.5	0.0	8.5	45.00034760002745	19	1.806887100043241	2	0.5362904999637976	True
4	2	3	left	0	1	right	(3, 3)	3	[(0, 0), (1, 1), (1, 2)]	[(0, 0), (1, 1), (1, 0)]	[(0, 0)]	[(1, 1)]	[(1, 2)]	False	7	4	3	1.5	8.5	17.0	53.50003029999789	23	0.7115837999735959	2	0.58975530002499	True
4	2	3	right	1	2	right	(3, 3)	3	[(1, 0), (2, 1), (2, 2)]	[(1, 0), (2, 1), (1, 2)]	[(1, 0)]	[(2, 1)]	[(2, 2)]	False	7	4	3	0.0	17.0	24.0	62.00002930004848	26	1.9995590999606065	3	0.7885633000405505	True
