run_num	key_one	key_two	key_three	key_four	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	stim	start_time	end_time	real_start_time	start_ttl	start_ttl_time	correct
1	1	2	3	4	0	bimanual	24.0	0	False	2 1 3 4 2 3 4 3 2 3 4 1 2 4 2 1	0.0	27.0	3.000377500022296	2	0.6077341999625787	0.8125
2	1	2	3	4	0	bimanual	24.0	0	False	2 1 3 1 3 4 2 4 3 4 3 1 1 2 4 3	0.0	27.0	130.00034969998524	53	0.3914214000105858	0.75
3	1	2	3	4	0	bimanual	24.0	0	False	1 4 1 2 4 2 4 2 4 3 1 4 2 3 1 4	0.0	27.0	88.00032489997102	36	1.5998450000188311	0.875
4	1	2	3	4	0	bimanual	24.0	0	False	2 3 2 3 1 3 3 4 1 3 1 2 1 2 1 4	0.0	27.0	3.0003284999984317	2	0.601975700003095	1.0
