run_num	trial_num	trial_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	1.0	12.0	0.0	12.0	30.00032170000486	1.0	30.00032450002618
1	1.0	12.0	0.0	12.0	72.00032509997254	1.0	72.00032809999539
1	1.0	12.0	0.0	12.0	114.00027600000612	2.0	13.99737619998632
2	1.0	12.0	0.0	12.0	30.00049449998187	1.0	30.00049760000548
2	1.0	12.0	0.0	12.0	72.00025179999648	1.0	72.00025410001399
2	1.0	12.0	0.0	12.0	114.0002867000294	2.0	13.996336099982727
3	1.0	12.0	0.0	12.0	30.00024100003065	1.0	30.00024329998996
3	1.0	12.0	0.0	12.0	72.00024940003641	1.0	72.00025219999952
3	1.0	12.0	0.0	12.0	114.00030469999184	2.0	13.999570699990729
4	1.0	12.0	0.0	12.0	30.000255100021604	1.0	30.000258000043686
4	1.0	12.0	0.0	12.0	72.0002744999947	1.0	72.00027740001678
4	1.0	12.0	0.0	12.0	114.00036619999446	1.0	114.00036880001426
