run_num	task_name	task_code	task_file	instruction_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	acc	rt	real_end_time
1	finger_sequence	fingseq	finger_sequence_01.tsv	3	0	27	0.0005750000127591	1	0.0005780000356025	0.75		27.018881700001657
1	rest	rest	rest_01.tsv	3	27	42	27.04045540001244	1	27.040458100033			42.0011921999976
1	action_observation	acva-acvk	action_observation_01.tsv	3	42	69	42.00743330002297	1	42.00743620004505			71.65698760002851
1	rest	rest	rest_01.tsv	3	70	85	71.6620628000237	1	71.66206550004426			85.0012141999905
1	demand_grid	dmgrd	demand_grid_01.tsv	3	85	112	85.00746130000334	1	85.00746460002847	1.0	1.229264766656949	109.97810280002886
1	rest	rest	rest_01.tsv	3	112	127	112.00001459999476	1	112.00001720001455			127.00131840002724
1	pong	pong	pong_01.tsv	3	127	154	127.00768330000574	1	127.00768670003164	0.5		153.53637270000763
2	action_observation	acva-acvk	action_observation_02.tsv	3	0	27	0.0005419999943114	1	0.000544800015632			29.19502149999608
2	rest	rest	rest_02.tsv	3	28	43	29.20213310001418	12	2.804033000022173			43.00114700000268
2	pong	pong	pong_02.tsv	3	43	70	43.00755219999701	17	2.249974199978169	0.875		75.53932139999233
2	rest	rest	rest_02.tsv	3	70	85	75.55477760004578	28	3.590914600004908			87.57980500004487
2	demand_grid	dmgrd	demand_grid_02.tsv	3	85	112	87.58689959999174	33	1.240324900019914	1.0	0.7139325000074072	109.63799950003158
2	rest	rest	rest_02.tsv	3	112	127	112.00000950001412	43	1.6467971000238322			127.00119249999987
2	finger_sequence	fingseq	finger_sequence_02.tsv	3	127	154	127.007375300047	49	2.251967499963939	0.6875		154.0192767000408
3	action_observation	acva-acvk	action_observation_03.tsv	3	0	27	0.0003464999608695	1	0.0003495999844744			29.155569299997296
3	rest	rest	rest_03.tsv	3	28	43	29.16272709995974	12	2.7605224999715574			43.00123459997121
3	demand_grid	dmgrd	demand_grid_03.tsv	3	43	70	43.00731109996559	17	2.2154387999908067	0.3333333333333333	0.5983106999968489	67.85803419997683
3	rest	rest	rest_03.tsv	3	70	85	70.0000224999967	29	0.4078215999761596			85.00150379998377
3	finger_sequence	fingseq	finger_sequence_03.tsv	3	85	112	85.00778260000516	35	1.0071694999933245	0.75		112.01827369997044
3	rest	rest	rest_03.tsv	3	112	127	112.02578339999307	45	4.025169299973641			127.00113250000868
3	pong	pong	pong_03.tsv	3	127	154	127.00721099996008	51	2.2151735000079498	0.875		159.53408789995592
4	finger_sequence	fingseq	finger_sequence_04.tsv	3	0	27	0.0003996000159531832	1	0.00040309998439624906	0.6875		27.019133099995088
4	rest	rest	rest_04.tsv	3	27	42	27.0283559000236	10	0.6228131999960169			42.0015063000028
4	demand_grid	dmgrd	demand_grid_04.tsv	3	42	69	42.008391899988055	16	1.199584899994079	0.6666666666666666	0.8027659666646892	66.64130429999204
4	rest	rest	rest_04.tsv	3	69	84	69.00000579998596	27	1.775888699979987			84.00109460001113
4	pong	pong	pong_04.tsv	3	84	111	84.00681940000504	34	0.007923300028778613	0.875		116.53880149999168
4	rest	rest	rest_04.tsv	3	111	126	116.55414880003082	44	3.7544480999931693			128.57646860001842
4	action_observation	acva-acvk	action_observation_04.tsv	3	126	154	128.58349370001815	49	1.3755725999944843			155.5013274999801
