run_num	trial_num	trial_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	1.0	12.0	0.0	12.0	30.000259299995378	1.0	30.00026190001517
1	1.0	12.0	0.0	12.0	73.00023550004698	1.0	73.00023790000705
1	1.0	12.0	0.0	12.0	115.00027379998936	1.0	115.00027610000689
2	1.0	12.0	0.0	12.0	31.000268000003416	12.0	4.602167800010648
2	1.0	12.0	0.0	12.0	75.5788572000456	28.0	3.614993399998639
2	1.0	12.0	0.0	12.0	115.00027860002592	44.0	2.2528412000392564
3	1.0	12.0	0.0	12.0	31.000283400004264	12.0	4.598078399954829
3	1.0	12.0	0.0	12.0	73.00029619998531	30.0	1.009947300015483
3	1.0	12.0	0.0	12.0	115.0002876999788	46.0	2.196999700041488
4	1.0	12.0	0.0	12.0	30.000272599980235	11.0	1.2019094999996014
4	1.0	12.0	0.0	12.0	72.00026609998895	28.0	2.39347110001836
4	1.0	12.0	0.0	12.0	116.5755472999881	44.0	3.7758459000033326
