run_num	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	stim	start_time	end_time	display_panda	real_start_time	start_ttl	start_ttl_time	response
1	0		11	1	False	motor1.mov	0	12	False	45.000408699997934	1	45.00041139998939	[]
1	1		11	1	False	motor2.mov	12	24	True	57.000069200003054	1	57.00007149999146	[('k', -0.45304349999059923), ('k', 11.587917800003197)]
2	0		11	1	False	motor3.mov	0	12	False	3.000819400011096	1	3.0008223000040743	[]
2	1		11	1	False	motor4.mov	12	24	True	15.000497700006235	1	15.000500300026031	[('k', 11.565933000005316)]
3	0		11	1	False	motor5.mov	0	12	False	3.0004250000056345	1	3.0004277999978517	[]
3	1		11	1	False	motor6.mov	12	24	True	15.000023400003556	1	15.000025599991204	[('k', 11.517837899998995)]
4	0		11	1	False	motor2.mov	0	12	False	129.00036669999827	1	129.000369699992	[]
4	1		11	1	False	motor3.mov	12	24	True	141.00002269999823	1	141.00002499998664	[('k', 11.465337800007546)]
