run_num	trial_num	trial_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	1.0	12.0	0.0	12.0	30.000330200011376	1.0	30.00033330000588
1	1.0	12.0	0.0	12.0	72.00025710000773	1.0	72.0002594999969
1	1.0	12.0	0.0	12.0	114.00026110000908	2.0	14.01219989999663
2	1.0	12.0	0.0	12.0	30.00024240001221	1.0	30.000244900002144
2	1.0	12.0	0.0	12.0	72.00029350002296	1.0	72.0002960000129
2	1.0	12.0	0.0	12.0	114.00033500001882	2.0	14.010587500000838
3	1.0	12.0	0.0	12.0	30.00024970000959	1.0	30.00025189999724
3	1.0	12.0	0.0	12.0	72.00027049999335	1.0	72.00027290001162
3	1.0	12.0	0.0	12.0	114.0003277999931	2.0	13.996154100022975
4	1.0	12.0	0.0	12.0	30.00028879998717	1.0	30.000291700009257
4	1.0	12.0	0.0	12.0	72.00032809999539	1.0	72.00033060001442
4	1.0	12.0	0.0	12.0	114.00028519998887	1.0	114.00028790000943
