run_num	key_left	key_right	correct_side	trial_type	trial_num	hand	grid_size	num_steps	original_sequence	modified_sequence	original_step_1	original_step_2	original_step_3	display_trial_feedback	trial_dur	sequence_dur	question_dur	iti_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	2	3	right	1	0	right	(3, 3)	3	[(2, 2), (1, 0), (2, 1)]	[(2, 2), (1, 0), (2, 0)]	[(2, 2)]	[(1, 0)]	[(2, 1)]	False	7	4	3	1.5	0.0	8.5	87.00045330000285	66	0.5988436999978148	3	0.502256200001284	True
1	2	3	left	0	1	right	(3, 3)	3	[(0, 2), (0, 0), (1, 0)]	[(0, 2), (0, 0), (1, 1)]	[(0, 2)]	[(0, 0)]	[(1, 0)]	False	7	4	3	1.5	8.5	17.0	95.50004340000304	73	0.7026324999969802	1	0.7431682000024011	False
1	2	3	right	1	2	right	(3, 3)	3	[(1, 2), (2, 1), (1, 1)]	[(1, 2), (2, 1), (1, 0)]	[(1, 2)]	[(2, 1)]	[(1, 1)]	False	7	4	3	0.0	17.0	24.0	104.00004340000304	80	0.7895104999988689	3	0.8370541000040248	True
2	2	3	left	0	0	right	(3, 3)	3	[(2, 0), (1, 0), (2, 2)]	[(2, 0), (1, 0), (2, 1)]	[(2, 0)]	[(1, 0)]	[(2, 2)]	False	7	4	3	1.5	0.0	8.5	87.0005769000054	58	0.6008612999939942	2	0.8948965000017779	True
2	2	3	left	0	1	right	(3, 3)	3	[(1, 0), (0, 1), (2, 0)]	[(1, 0), (0, 1), (2, 2)]	[(1, 0)]	[(0, 1)]	[(2, 0)]	False	7	4	3	1.5	8.5	17.0	95.5002256000007	65	0.6885769000000437	2	0.8856955000010203	True
2	2	3	right	1	2	right	(3, 3)	3	[(0, 0), (1, 2), (0, 2)]	[(0, 0), (1, 2), (0, 1)]	[(0, 0)]	[(1, 2)]	[(0, 2)]	False	7	4	3	0.0	17.0	24.0	104.00022510000416	72	0.8099947000009706	3	0.6305447999984608	True
3	2	3	left	0	0	right	(3, 3)	3	[(1, 1), (0, 1), (2, 1)]	[(1, 1), (0, 1), (2, 2)]	[(1, 1)]	[(0, 1)]	[(2, 1)]	False	7	4	3	1.5	0.0	8.5	45.00033390000317	36	0.6006783999982872	2	0.7402292000042507	True
3	2	3	right	1	1	right	(3, 3)	3	[(2, 0), (2, 2), (2, 1)]	[(2, 0), (2, 2), (0, 1)]	[(2, 0)]	[(2, 2)]	[(2, 1)]	False	7	4	3	1.5	8.5	17.0	53.50002310000127	43	0.703929600000265	3	0.4906782999969437	True
3	2	3	right	1	2	right	(3, 3)	3	[(0, 2), (2, 1), (2, 2)]	[(0, 2), (2, 1), (2, 0)]	[(0, 2)]	[(2, 1)]	[(2, 2)]	False	7	4	3	0.0	17.0	24.0	62.000020100000256	50	0.8093841000008979	3	0.754343799999333	True
4	2	3	left	0	0	right	(3, 3)	3	[(2, 0), (1, 1), (1, 2)]	[(2, 0), (1, 1), (2, 2)]	[(2, 0)]	[(1, 1)]	[(1, 2)]	False	7	4	3	1.5	0.0	8.5	45.000354000003426	36	0.6108018000013544	2	0.6592524000006961	True
4	2	3	left	0	1	right	(3, 3)	3	[(0, 0), (1, 1), (1, 2)]	[(0, 0), (1, 1), (1, 0)]	[(0, 0)]	[(1, 1)]	[(1, 2)]	False	7	4	3	1.5	8.5	17.0	53.5000313000055	43	0.6946205999993253	2	0.695439000002807	True
4	2	3	right	1	2	right	(3, 3)	3	[(1, 0), (2, 1), (2, 2)]	[(1, 0), (2, 1), (1, 2)]	[(1, 0)]	[(2, 1)]	[(2, 2)]	False	7	4	3	0.0	17.0	24.0	62.000029300004826	50	0.8041373999949428	3	0.7030009000009159	True
