run_num	trial_num	trial_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	1.0	12.0	0.0	12.0	32.455160700003034	20.0	6.040629999995872
1	1.0	12.0	0.0	12.0	73.52656410000054	55.0	1.5119068999993033
1	1.0	12.0	0.0	12.0	114.00027430000046	88.0	1.1973823000007542
2	1.0	12.0	0.0	12.0	30.000261900000623	25.0	0.0007783999972161
2	1.0	12.0	0.0	12.0	72.00024050000502	47.0	0.0043644999968819
2	1.0	12.0	0.0	12.0	114.00027899999986	80.0	1.1999625000025844
3	1.0	12.0	0.0	12.0	30.00026639999851	24.0	2.405901400001312
3	1.0	12.0	0.0	12.0	72.00027430000046	58.0	1.1984244999985094
3	1.0	12.0	0.0	12.0	114.00027150000096	90.0	1.2053134000016144
4	1.0	12.0	0.0	12.0	30.00029260000156	23.0	1.2023281000001589
4	1.0	12.0	0.0	12.0	72.00026150000485	59.0	0.0101643000016338
4	1.0	12.0	0.0	12.0	114.00027160000172	90.0	1.192923399998108
