run_num	key_one	key_two	key_three	key_four	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	stim	start_time	end_time	real_start_time	start_ttl	start_ttl_time	correct
1	1	2	3	4	0	bimanual	24.0	0	False	2 1 3 4 2 3 4 3 2 3 4 1 2 4 2 1	0.0	27.0	3.000519400004123	3	0.6000476000044728	0.625
2	1	2	3	4	0	bimanual	24.0	0	False	2 1 3 1 3 4 2 4 3 4 3 1 1 2 4 3	0.0	27.0	129.00036890000047	93	0.6026373999993666	0.8125
3	1	2	3	4	0	bimanual	24.0	0	False	1 4 1 2 4 2 4 2 4 3 1 4 2 3 1 4	0.0	27.0	87.00039470000047	71	0.6069147999951383	0.375
4	1	2	3	4	0	bimanual	24.0	0	False	2 3 2 3 1 3 3 4 1 3 1 2 1 2 1 4	0.0	27.0	3.0003823000006378	3	0.6032875999953831	0.75
