run_num	trial_num	trial_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	1.0	12.0	0.0	12.0	30.000285099959	1.0	30.0002876999788
1	1.0	12.0	0.0	12.0	72.04742109996732	1.0	72.04742329998408
1	1.0	12.0	0.0	12.0	114.0002537999535	2.0	13.988376099965537
2	1.0	12.0	0.0	12.0	30.00025809998624	1.0	30.00026060000528
2	1.0	12.0	0.0	12.0	72.00024590000976	1.0	72.00024869991466
2	1.0	12.0	0.0	12.0	114.00023629993666	2.0	13.986999899963848
3	1.0	12.0	0.0	12.0	30.00025680009276	1.0	30.0002594999969
3	1.0	12.0	0.0	12.0	72.00024070008658	1.0	72.00024300010409
3	1.0	12.0	0.0	12.0	114.0002241000766	2.0	14.005008900072426
4	1.0	12.0	0.0	12.0	30.000280900043435	1.0	30.000283899949864
4	1.0	12.0	0.0	12.0	72.00024870003108	1.0	72.00025110004935
4	1.0	12.0	0.0	12.0	114.00025080004707	1.0	114.00025309994817
