run_num	task_name	task_code	task_file	instruction_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	acc	rt	real_end_time
1	finger_sequence	fingseq	finger_sequence_01.tsv	3	0	27	0.0005820000078529	1	0.0005853999173268	0.625		27.018263799953274
1	rest	rest	rest_01.tsv	3	27	42	27.02964049996808	1	27.0296432999894			42.00117709999904
1	action_observation	acva-acvk	action_observation_01.tsv	3	42	69	42.0076085999608	1	42.00761169998441			72.01839919993654
1	rest	rest	rest_01.tsv	3	69	84	72.02422169991769	1	72.02422449993901			84.04829830001108
1	demand_grid	dmgrd	demand_grid_01.tsv	3	84	111	84.05474269995466	1	84.05474579997826	0.6666666666666666	1.15362096663254	109.43902970000636
1	rest	rest	rest_01.tsv	3	111	126	111.00000909995288	2	10.988130899961106			126.00116360001266
1	pong	pong	pong_01.tsv	3	126	153	126.0068098999327	2	25.994932499947023	1.0		152.5412942999974
2	action_observation	acva-acvk	action_observation_02.tsv	3	0	27	0.0004960999358445	1	0.0004994999617338			29.459995599929243
2	rest	rest	rest_02.tsv	3	27	42	29.466456399997696	1	29.466459299903363			42.00114129995927
2	pong	pong	pong_02.tsv	3	42	69	42.00760839995928	1	42.007611499982886	0.6666666666666666		68.28108469990548
2	rest	rest	rest_02.tsv	3	69	84	69.00001359998714	1	69.0000163000077			84.00108749989886
2	demand_grid	dmgrd	demand_grid_02.tsv	3	84	111	84.00732769991737	1	84.00733029993717	1.0	1.2797117666341364	109.58425559999888
2	rest	rest	rest_02.tsv	3	111	126	111.00000739993992	2	10.986770699964836			126.00115609995557
2	finger_sequence	fingseq	finger_sequence_02.tsv	3	126	153	126.00749849993736	2	25.99426289997064	0.375		153.02061599993613
3	action_observation	acva-acvk	action_observation_03.tsv	3	0	27	0.0004772000247612	1	0.0004803000483661			29.52698180009611
3	rest	rest	rest_03.tsv	3	27	42	29.533762900042348	1	29.53376580006443			42.00116000010166
3	demand_grid	dmgrd	demand_grid_03.tsv	3	42	69	42.00771000003442	1	42.00771380006336	1.0	0.7720092999904106	67.06128810008522
3	rest	rest	rest_03.tsv	3	69	84	69.00001550000161	1	69.00001830002293			84.00105050008278
3	finger_sequence	fingseq	finger_sequence_03.tsv	3	84	111	84.00731920008548	1	84.00732239999343	0.3125		111.01868239999747
3	rest	rest	rest_03.tsv	3	111	126	111.0311331000412	2	11.035918900044637			126.00112880009692
3	pong	pong	pong_03.tsv	3	126	153	126.00828140007798	2	26.013067200081423	1.0		152.28655200009234
4	finger_sequence	fingseq	finger_sequence_04.tsv	3	0	27	0.000404300051741302	1	0.0004075999604538083	0.625		27.019766199984588
4	rest	rest	rest_04.tsv	3	27	42	27.038845899980515	1	27.038848700001836			42.00119540002197
4	demand_grid	dmgrd	demand_grid_04.tsv	3	42	69	42.00721469998825	1	42.007218200014904	1.0	0.7647081000419954	66.7902299000416
4	rest	rest	rest_04.tsv	3	69	84	69.00001249997877	1	69.00001620000694			84.00112899998203
4	pong	pong	pong_04.tsv	3	84	111	84.00726730003953	1	84.00727039994672	0.6666666666666666		110.28171480004676
4	rest	rest	rest_04.tsv	3	111	126	111.00001049996354	1	111.00001359998714			126.00122940004803
4	action_observation	acva-acvk	action_observation_04.tsv	3	126	153	126.00781520002056	1	126.0078182000434			155.44396389997564
