run_num	key_one	key_two	key_three	key_four	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	stim	start_time	end_time	real_start_time	start_ttl	start_ttl_time	correct
1	1	2	3	4	0	bimanual	24.0	0	False	2 1 3 4 2 3 4 3 2 3 4 1 2 4 2 1	0.0	27.0	3.000374399998691	2	1.486417000000074	0.625
2	1	2	3	4	0	bimanual	24.0	0	False	2 1 3 1 3 4 2 4 3 4 3 1 1 2 4 3	0.0	27.0	129.00038089999725	81	1.5032585000008112	1.0
3	1	2	3	4	0	bimanual	24.0	0	False	1 4 1 2 4 2 4 2 4 3 1 4 2 3 1 4	0.0	27.0	87.0003424999959	38	0.0083701000039582	0.5625
4	1	2	3	4	0	bimanual	24.0	0	False	2 3 2 3 1 3 3 4 1 3 1 2 1 2 1 4	0.0	27.0	3.0003456999984337	3	0.0056304999961867	0.5625
