run_num	task_name	task_code	task_file	instruction_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	acc	rt	real_end_time
1	finger_sequence	fingseq	finger_sequence_01.tsv	3	0	27	0.0006137999953352	1	0.0006182999932207	0.625		27.02380269999412
1	rest	rest	rest_01.tsv	3	27	42	27.03974809999636	10	0.0476129000016953			42.00235239999893
1	action_observation	acva-acvk	action_observation_01.tsv	3	42	69	42.00807269999496	20	0.0114640000028884			71.43752499999391
1	rest	rest	rest_01.tsv	3	69	84	71.44437209999887	38	2.4169054000012693			84.0012321999966
1	demand_grid	dmgrd	demand_grid_01.tsv	3	84	111	84.00807219999842	47	0.0081729000012273	0.6666666666666666	0.9914491666665224	108.91084599999886
1	rest	rest	rest_01.tsv	3	111	126	111.0000119999968	65	0.0061033999954815			126.00119959999574
1	pong	pong	pong_01.tsv	3	126	153	126.00721299999714	75	0.0108325000037439	0.8333333333333334		152.53579089999403
2	action_observation	acva-acvk	action_observation_02.tsv	3	0	27	0.0005135999963385	1	0.0005170000004			29.09743819999857
2	rest	rest	rest_02.tsv	3	27	42	29.103844299999764	19	2.062502000000677			42.00117450000107
2	pong	pong	pong_02.tsv	3	42	69	42.0070465999961	28	0.0116521999952965	0.8333333333333334		68.28529909999634
2	rest	rest	rest_02.tsv	3	69	84	69.00001119999797	42	4.502742700002273			84.00121389999549
2	demand_grid	dmgrd	demand_grid_02.tsv	3	84	111	84.00796149999951	52	1.5098250000010012	1.0	0.5948400999986916	108.6054335000008
2	rest	rest	rest_02.tsv	3	111	126	111.00001959999643	69	1.5081820999985212			126.00160889999825
2	finger_sequence	fingseq	finger_sequence_02.tsv	3	126	153	126.00766199999634	80	0.0121223000023746	1.0		153.02027399999497
3	action_observation	acva-acvk	action_observation_03.tsv	3	0	27	0.0004251999998814	1	0.0004291000004741			29.377216799999587
3	rest	rest	rest_03.tsv	3	27	42	29.383747899999435	19	2.382899299998826			42.00126209999871
3	demand_grid	dmgrd	demand_grid_03.tsv	3	42	69	42.00733130000299	19	15.006483199998913	0.3333333333333333	0.6788712999987183	66.77164179999818
3	rest	rest	rest_03.tsv	3	69	84	69.00005519999831	26	1.5030379000018002			84.00134139999864
3	finger_sequence	fingseq	finger_sequence_03.tsv	3	84	111	84.008164699997	36	1.5093713000023854	0.5625		111.01993229999788
3	rest	rest	rest_03.tsv	3	111	126	111.02601180000056	45	2.878349899998284			126.00119809999887
3	pong	pong	pong_03.tsv	3	126	153	126.00796100000298	56	0.0146030999967479	0.8333333333333334		152.27947629999835
4	finger_sequence	fingseq	finger_sequence_04.tsv	3	0	27	0.00042609999945852906	1	0.000428999999712687	0.5625		27.019574400001147
4	rest	rest	rest_04.tsv	3	27	42	27.034751499995764	10	0.042220800001814496			42.0011738999965
4	demand_grid	dmgrd	demand_grid_04.tsv	3	42	69	42.00765909999609	20	0.01357070000085514	0.0		69.1138534999991
4	rest	rest	rest_04.tsv	3	69	84	69.12203040000168	23	22.620373999998264			84.0043130999984
4	pong	pong	pong_04.tsv	3	84	111	84.01298400000087	23	37.5113257999983	0.8333333333333334		110.294021099995
4	rest	rest	rest_04.tsv	3	111	126	111.00000819999696	23	64.498348299996			126.0011908000015
4	action_observation	acva-acvk	action_observation_04.tsv	3	126	153	126.01321060000191	23	79.51155170000129			155.4362450999979
