run_num	trial_num	trial_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time
1	1.0	12.0	0.0	12.0	30.000262399997155	12.0	0.001927400000568
1	1.0	12.0	0.0	12.0	72.00027439999394	39.0	0.0085156000059214
1	1.0	12.0	0.0	12.0	114.00030729999708	66.0	1.5031210000015562
2	1.0	12.0	0.0	12.0	30.00025569999707	20.0	0.0008940999978221
2	1.0	12.0	0.0	12.0	72.00025050000113	45.0	0.0081818999969982
2	1.0	12.0	0.0	12.0	114.0003360999981	71.0	1.502402100006293
3	1.0	12.0	0.0	12.0	30.000268399999182	19.0	2.999419799998577
3	1.0	12.0	0.0	12.0	72.0002805999975	29.0	0.0083279000027687
3	1.0	12.0	0.0	12.0	114.00036199999886	48.0	0.0003794999938691
4	1.0	12.0	0.0	12.0	30.00029979999817	12.0	0.0005143000016687
4	1.0	12.0	0.0	12.0	72.00144	23.0	25.49978320000082
4	1.0	12.0	0.0	12.0	114.00026269999944	23.0	67.49860259999696
