task_name	task_code	task_file	instruction_dur	start_time	end_time
action_observation	acva-acvk	action_observation_02.tsv	3	0	27
rest	rest	rest_02.tsv	3	27	42
pong	pong	pong_02.tsv	3	42	69
rest	rest	rest_02.tsv	3	69	84
demand_grid	dmgrd	demand_grid_02.tsv	3	84	111
rest	rest	rest_02.tsv	3	111	126
finger_sequence	fingseq	finger_sequence_02.tsv	3	126	153
