task_name	task_code	task_file	instruction_dur	start_time	end_time
finger_sequence	fingseq	training_finger_sequence_02.tsv	3	0	27
action_observation	acva-acvk	training_action_observation_02.tsv	3	42	69
demand_grid	dmgrd	training_demand_grid_02.tsv	3	84	111
pong	pong	training_pong_02.tsv	3	126	153

